[20:49:00] === frontier consensus job starting ===
[20:49:01] fetched 44 active queue items
[20:49:01] [1/44] item 1 stratum=fixture_positive_simple — consulting
[20:49:27]   → ['silver', 'silver', 'gold'] = non_gold
[20:49:27] [2/44] item 2 stratum=fixture_positive_simple — consulting
[20:49:49]   → ['silver', 'unparsed', 'gold'] = non_gold
[20:49:49] [3/44] item 3 stratum=fixture_positive_simple — consulting
[20:50:14]   → ['reject', 'reject', 'silver'] = non_gold
[20:50:14] [4/44] item 4 stratum=fixture_positive_simple — consulting
[20:50:37]   → ['reject', 'silver', 'silver'] = non_gold
[20:50:37] [5/44] item 5 stratum=fixture_positive_simple — consulting
[20:50:58]   → ['reject', 'unparsed', 'gold'] = non_gold
[20:50:58] [6/44] item 6 stratum=fixture_positive_simple — consulting
[20:51:16]   → ['silver', 'gold', 'gold'] = majority_gold
[20:51:16] [7/44] item 7 stratum=fixture_positive_simple — consulting
[20:51:36]   → ['reject', 'reject', 'silver'] = non_gold
[20:51:36] [8/44] item 8 stratum=fixture_positive_simple — consulting
[20:52:04]   → ['silver', 'silver', 'silver'] = non_gold
[20:52:04] [9/44] item 9 stratum=fixture_positive_simple — consulting
[20:52:23]   → ['reject', 'unparsed', 'silver'] = non_gold
[20:52:23] [10/44] item 10 stratum=fixture_positive_simple — consulting
[20:52:49]   → ['silver', 'silver', 'silver'] = non_gold
[20:52:49] [11/44] item 11 stratum=fixture_positive_complex — consulting
[20:53:04]   → ['silver', 'gold', 'gold'] = majority_gold
[20:53:04] [12/44] item 12 stratum=fixture_positive_complex — consulting
[20:53:19]   → ['reject', 'reject', 'silver'] = non_gold
[20:53:19] [13/44] item 13 stratum=fixture_positive_complex — consulting
[20:53:33]   → ['reject', 'silver', 'gold'] = non_gold
[20:53:33] [14/44] item 14 stratum=fixture_positive_complex — consulting
[20:54:18]   → ['reject', 'reject', 'silver'] = non_gold
[20:54:18] [15/44] item 15 stratum=fixture_negative_abstain — consulting
[20:54:37]   → ['reject', 'unparsed', 'reject'] = non_gold
[20:54:37] [16/44] item 16 stratum=fixture_negative_abstain — consulting
[20:54:58]   → ['reject', 'unparsed', 'reject'] = non_gold
[20:54:58] [17/44] item 17 stratum=fixture_negative_abstain — consulting
[20:55:28]   → ['reject', 'reject', 'reject'] = non_gold
