[20:27:25] === frontier consensus job starting ===
[20:27:26] fetched 44 active queue items
[20:27:26] [1/44] item 1 stratum=fixture_positive_simple — consulting
[20:28:14]   → ['silver', 'unparsed', 'unparsed'] = non_gold
[20:28:14] [2/44] item 2 stratum=fixture_positive_simple — consulting
[20:28:37]   → ['silver', 'unparsed', 'unparsed'] = non_gold
[20:28:37] [3/44] item 3 stratum=fixture_positive_simple — consulting
[20:29:04]   → ['reject', 'reject', 'empty'] = non_gold
[20:29:04] [4/44] item 4 stratum=fixture_positive_simple — consulting
[20:29:34]   → ['reject', 'reject', 'empty'] = non_gold
[20:29:34] [5/44] item 5 stratum=fixture_positive_simple — consulting
[20:29:57]   → ['reject', 'unparsed', 'empty'] = non_gold
[20:29:57] [6/44] item 6 stratum=fixture_positive_simple — consulting
[20:30:16]   → ['silver', 'gold', 'empty'] = non_gold
[20:30:16] [7/44] item 7 stratum=fixture_positive_simple — consulting
[20:30:36]   → ['reject', 'unparsed', 'empty'] = non_gold
[20:30:36] [8/44] item 8 stratum=fixture_positive_simple — consulting
[20:31:04]   → ['silver', 'silver', 'empty'] = non_gold
[20:31:04] [9/44] item 9 stratum=fixture_positive_simple — consulting
[20:31:26]   → ['reject', 'silver', 'empty'] = non_gold
[20:31:26] [10/44] item 10 stratum=fixture_positive_simple — consulting
[20:31:59]   → ['silver', 'gold', 'silver'] = non_gold
[20:31:59] [11/44] item 11 stratum=fixture_positive_complex — consulting
[20:32:35]   → ['silver', 'reject', 'unparsed'] = non_gold
[20:32:35] [12/44] item 12 stratum=fixture_positive_complex — consulting
[20:33:16]   → ['reject', 'reject', 'unparsed'] = non_gold
[20:33:16] [13/44] item 13 stratum=fixture_positive_complex — consulting
[20:33:41]   → ['reject', 'silver', 'unparsed'] = non_gold
[20:33:41] [14/44] item 14 stratum=fixture_positive_complex — consulting
[20:34:01]   → ['reject', 'silver', 'unparsed'] = non_gold
[20:34:01] [15/44] item 15 stratum=fixture_negative_abstain — consulting
[20:34:21]   → ['reject', 'gold', 'unparsed'] = non_gold
[20:34:21] [16/44] item 16 stratum=fixture_negative_abstain — consulting
[20:34:47]   → ['reject', 'reject', 'unparsed'] = non_gold
[20:34:47] [17/44] item 17 stratum=fixture_negative_abstain — consulting
[20:35:22]   → ['reject', 'reject', 'silver'] = non_gold
[20:35:22] [18/44] item 18 stratum=fixture_negative_abstain — consulting
[20:35:50]   → ['reject', 'unparsed', 'reject'] = non_gold
[20:35:50] [19/44] item 19 stratum=fixture_negative_abstain — consulting
