[22:08:12] === bulk seed generation starting (target=6000, workers=4, batch=5) ===
[22:08:12] existing accepted seeds: 0 | {}
[22:08:12] prepared 1200 batches across categories
[22:09:05]   +5 [partial_knowledge] ; total=5 ; rate=6/min ; 1/1200 batches
[22:09:07]   +5 [partial_knowledge] ; total=10 ; rate=11/min ; 2/1200 batches
[22:09:10]   +5 [partial_knowledge] ; total=15 ; rate=16/min ; 3/1200 batches
[22:09:14]   +5 [partial_knowledge] ; total=20 ; rate=19/min ; 4/1200 batches
[22:09:55]   +5 [partial_knowledge] ; total=25 ; rate=15/min ; 5/1200 batches
[22:10:02]   +5 [partial_knowledge] ; total=30 ; rate=16/min ; 6/1200 batches
[22:10:06]   +5 [partial_knowledge] ; total=35 ; rate=18/min ; 7/1200 batches
[22:10:38] === bulk seed generation starting (target=10000, workers=4, batch=5) ===
[22:10:38] existing accepted seeds: 35 | {'partial_knowledge': 35}
[22:10:38] prepared 1993 batches across categories
[22:11:32]   +5 [partial_knowledge] ; total=5 ; rate=6/min ; 1/1993 batches
[22:11:34]   +5 [partial_knowledge] ; total=10 ; rate=11/min ; 2/1993 batches
[22:11:38]   +5 [partial_knowledge] ; total=15 ; rate=15/min ; 3/1993 batches
[22:11:41]   +5 [partial_knowledge] ; total=20 ; rate=19/min ; 4/1993 batches
[22:12:23]   +5 [partial_knowledge] ; total=25 ; rate=14/min ; 5/1993 batches
[22:12:27]   +5 [partial_knowledge] ; total=30 ; rate=17/min ; 6/1993 batches
[22:12:35]   +5 [partial_knowledge] ; total=35 ; rate=18/min ; 7/1993 batches
[22:12:38]   +5 [partial_knowledge] ; total=40 ; rate=20/min ; 8/1993 batches
[22:13:19]   +5 [partial_knowledge] ; total=45 ; rate=17/min ; 9/1993 batches
[22:13:23]   +5 [partial_knowledge] ; total=50 ; rate=18/min ; 10/1993 batches
[22:13:26]   +5 [partial_knowledge] ; total=55 ; rate=20/min ; 11/1993 batches
[22:13:34]   +5 [partial_knowledge] ; total=60 ; rate=21/min ; 12/1993 batches
[22:14:08]   +5 [partial_knowledge] ; total=65 ; rate=19/min ; 13/1993 batches
[22:14:17]   +5 [partial_knowledge] ; total=70 ; rate=19/min ; 14/1993 batches
[22:14:17]   +5 [partial_knowledge] ; total=75 ; rate=21/min ; 15/1993 batches
[22:14:29]   +5 [partial_knowledge] ; total=80 ; rate=21/min ; 16/1993 batches
[22:15:01]   +5 [partial_knowledge] ; total=85 ; rate=19/min ; 17/1993 batches
[22:15:08]   +5 [partial_knowledge] ; total=90 ; rate=20/min ; 18/1993 batches
[22:15:13]   +5 [partial_knowledge] ; total=95 ; rate=21/min ; 19/1993 batches
[22:15:23]   +5 [partial_knowledge] ; total=100 ; rate=21/min ; 20/1993 batches
[22:15:52]   +5 [partial_knowledge] ; total=105 ; rate=20/min ; 21/1993 batches
[22:16:01]   +5 [partial_knowledge] ; total=110 ; rate=20/min ; 22/1993 batches
[22:16:04]   +5 [partial_knowledge] ; total=115 ; rate=21/min ; 23/1993 batches
[22:16:18]   +5 [partial_knowledge] ; total=120 ; rate=21/min ; 24/1993 batches
[22:16:44]   +5 [partial_knowledge] ; total=125 ; rate=21/min ; 25/1993 batches
[22:16:54]   +5 [partial_knowledge] ; total=130 ; rate=21/min ; 26/1993 batches
[22:16:59]   +5 [partial_knowledge] ; total=135 ; rate=21/min ; 27/1993 batches
[22:17:17]   +5 [partial_knowledge] ; total=140 ; rate=21/min ; 28/1993 batches
[22:17:48]   +5 [partial_knowledge] ; total=145 ; rate=20/min ; 29/1993 batches
[22:17:48]   +5 [partial_knowledge] ; total=150 ; rate=21/min ; 30/1993 batches
[22:17:51]   +5 [partial_knowledge] ; total=155 ; rate=21/min ; 31/1993 batches
[22:18:08]   +5 [partial_knowledge] ; total=160 ; rate=21/min ; 32/1993 batches
[22:18:40]   +5 [partial_knowledge] ; total=165 ; rate=21/min ; 33/1993 batches
[22:18:45]   +5 [partial_knowledge] ; total=170 ; rate=21/min ; 34/1993 batches
[22:18:51]   +5 [partial_knowledge] ; total=175 ; rate=21/min ; 35/1993 batches
[22:19:02]   +5 [partial_knowledge] ; total=180 ; rate=21/min ; 36/1993 batches
[22:19:31]   +5 [partial_knowledge] ; total=185 ; rate=21/min ; 37/1993 batches
[22:19:40]   +5 [partial_knowledge] ; total=190 ; rate=21/min ; 38/1993 batches
[22:19:47]   +5 [partial_knowledge] ; total=195 ; rate=21/min ; 39/1993 batches
[22:19:53]   +5 [partial_knowledge] ; total=200 ; rate=22/min ; 40/1993 batches
[22:20:21]   +5 [partial_knowledge] ; total=205 ; rate=21/min ; 41/1993 batches
[22:20:36]   +5 [partial_knowledge] ; total=210 ; rate=21/min ; 42/1993 batches
[22:20:46]   +5 [partial_knowledge] ; total=215 ; rate=21/min ; 43/1993 batches
[22:20:48]   +5 [partial_knowledge] ; total=220 ; rate=22/min ; 44/1993 batches
[22:21:17]   +5 [partial_knowledge] ; total=225 ; rate=21/min ; 45/1993 batches
[22:21:29]   +5 [partial_knowledge] ; total=230 ; rate=21/min ; 46/1993 batches
[22:21:35]   +5 [partial_knowledge] ; total=235 ; rate=21/min ; 47/1993 batches
[22:21:51]   +5 [partial_knowledge] ; total=240 ; rate=21/min ; 48/1993 batches
[22:22:12]   +5 [partial_knowledge] ; total=245 ; rate=21/min ; 49/1993 batches
[22:22:16]   +5 [partial_knowledge] ; total=250 ; rate=21/min ; 50/1993 batches
[22:22:37]   +5 [partial_knowledge] ; total=255 ; rate=21/min ; 51/1993 batches
[22:22:47]   +5 [partial_knowledge] ; total=260 ; rate=21/min ; 52/1993 batches
[22:23:10]   +5 [partial_knowledge] ; total=265 ; rate=21/min ; 53/1993 batches
[22:23:15]   +5 [partial_knowledge] ; total=270 ; rate=21/min ; 54/1993 batches
[22:23:33]   +5 [partial_knowledge] ; total=275 ; rate=21/min ; 55/1993 batches
[22:23:44]   +5 [partial_knowledge] ; total=280 ; rate=21/min ; 56/1993 batches
[22:24:02]   +5 [partial_knowledge] ; total=285 ; rate=21/min ; 57/1993 batches
[22:24:13]   +5 [partial_knowledge] ; total=290 ; rate=21/min ; 58/1993 batches
[22:24:31]   +5 [partial_knowledge] ; total=295 ; rate=21/min ; 59/1993 batches
[22:24:41]   +5 [partial_knowledge] ; total=300 ; rate=21/min ; 60/1993 batches
[22:25:05]   +5 [partial_knowledge] ; total=305 ; rate=21/min ; 61/1993 batches
[22:25:14]   +5 [partial_knowledge] ; total=310 ; rate=21/min ; 62/1993 batches
[22:25:31]   +5 [partial_knowledge] ; total=315 ; rate=21/min ; 63/1993 batches
[22:25:44]   +5 [partial_knowledge] ; total=320 ; rate=21/min ; 64/1993 batches
[22:25:57]   +5 [partial_knowledge] ; total=325 ; rate=21/min ; 65/1993 batches
[22:26:11]   +5 [partial_knowledge] ; total=330 ; rate=21/min ; 66/1993 batches
[22:26:23]   +5 [partial_knowledge] ; total=335 ; rate=21/min ; 67/1993 batches
