[05:54:42] === bulk seed generation starting (target=60000, workers=4, batch=5) ===
[05:54:42] existing accepted seeds: 10045 | {'partial_knowledge': 7500, 'matter_file_grounded': 2545}
[05:54:42] prepared 9991 batches across categories
[05:55:25]   +5 [partial_knowledge] ; total=5 ; rate=7/min ; 1/9991 batches
[05:55:26]   +5 [partial_knowledge] ; total=10 ; rate=14/min ; 2/9991 batches
[05:55:28]   +5 [partial_knowledge] ; total=15 ; rate=20/min ; 3/9991 batches
[05:55:33]   +5 [partial_knowledge] ; total=20 ; rate=24/min ; 4/9991 batches
[05:56:11]   +5 [partial_knowledge] ; total=25 ; rate=17/min ; 5/9991 batches
[05:56:15]   +5 [partial_knowledge] ; total=30 ; rate=19/min ; 6/9991 batches
[05:56:21]   +5 [partial_knowledge] ; total=35 ; rate=21/min ; 7/9991 batches
[05:56:24]   +5 [partial_knowledge] ; total=40 ; rate=24/min ; 8/9991 batches
[05:56:52]   +5 [partial_knowledge] ; total=45 ; rate=21/min ; 9/9991 batches
[05:57:06]   +5 [partial_knowledge] ; total=50 ; rate=21/min ; 10/9991 batches
[05:57:06]   +5 [partial_knowledge] ; total=55 ; rate=23/min ; 11/9991 batches
[05:57:17]   +5 [partial_knowledge] ; total=60 ; rate=23/min ; 12/9991 batches
[05:57:39]   +5 [partial_knowledge] ; total=65 ; rate=22/min ; 13/9991 batches
[05:57:49]   +5 [partial_knowledge] ; total=70 ; rate=23/min ; 14/9991 batches
[05:57:52]   +5 [partial_knowledge] ; total=75 ; rate=24/min ; 15/9991 batches
[05:58:02]   +5 [partial_knowledge] ; total=80 ; rate=24/min ; 16/9991 batches
[05:58:21]   +5 [partial_knowledge] ; total=85 ; rate=23/min ; 17/9991 batches
[05:58:40]   +5 [partial_knowledge] ; total=90 ; rate=23/min ; 18/9991 batches
[05:58:41]   +5 [partial_knowledge] ; total=95 ; rate=24/min ; 19/9991 batches
[05:58:46]   +5 [partial_knowledge] ; total=100 ; rate=25/min ; 20/9991 batches
[05:59:08]   +5 [partial_knowledge] ; total=105 ; rate=24/min ; 21/9991 batches
[05:59:24]   +5 [partial_knowledge] ; total=110 ; rate=23/min ; 22/9991 batches
[05:59:32]   +5 [partial_knowledge] ; total=115 ; rate=24/min ; 23/9991 batches
[05:59:39]   +5 [partial_knowledge] ; total=120 ; rate=24/min ; 24/9991 batches
[05:59:55]   +5 [partial_knowledge] ; total=125 ; rate=24/min ; 25/9991 batches
[06:00:06]   +5 [partial_knowledge] ; total=130 ; rate=24/min ; 26/9991 batches
[06:00:18]   +5 [partial_knowledge] ; total=135 ; rate=24/min ; 27/9991 batches
[06:00:20]   +5 [partial_knowledge] ; total=140 ; rate=25/min ; 28/9991 batches
[06:00:45]   +5 [partial_knowledge] ; total=145 ; rate=24/min ; 29/9991 batches
[06:00:58]   +5 [partial_knowledge] ; total=150 ; rate=24/min ; 30/9991 batches
[06:01:00]   +5 [partial_knowledge] ; total=155 ; rate=25/min ; 31/9991 batches
[06:01:08]   +5 [partial_knowledge] ; total=160 ; rate=25/min ; 32/9991 batches
[06:01:33]   +5 [partial_knowledge] ; total=165 ; rate=24/min ; 33/9991 batches
[06:01:49]   +5 [partial_knowledge] ; total=170 ; rate=24/min ; 34/9991 batches
[06:01:57]   +5 [partial_knowledge] ; total=175 ; rate=24/min ; 35/9991 batches
[06:01:57]   +5 [partial_knowledge] ; total=180 ; rate=25/min ; 36/9991 batches
